Student_IDs,Semester,Degree_Type,Class_Standing,Major,Expected_Graduation,Course_Name,Course_Number,Course_Type,Course_Code_by_Thousands,Semester_Week,Check_In_Date,Check_In_Time,Check_Out_Time,Duration_In_Min,Gender,Term_Credit_Hours,Term_GPA,Total_Credit_Hours_Earned,Cumulative_GPA,Change_in_GPA
BGSU00006,Fall 2016,Undergraduate,Senior,No Response,Fall Semester 2017,Business Analytics III: Descriptive Analytics,STAT-2110,STAT,2000,4,9/13/16,13:21:00,15:32:00,131,FEMALE,6,2.5,105,3.265,-0.765
BGSU00006,Fall 2016,Undergraduate,Senior,No Response,Fall Semester 2017,Business Analytics III: Descriptive Analytics,STAT-2110,STAT,2000,2,8/31/16,09:32:00,10:59:00,86,FEMALE,6,2.5,105,3.265,-0.765
BGSU00006,Fall 2016,Undergraduate,Senior,No Response,Fall Semester 2017,Business Analytics III: Descriptive Analytics,STAT-2110,STAT,2000,2,9/2/16,09:31:00,10:37:00,66,FEMALE,6,2.5,105,3.265,-0.765
BGSU00009,Fall 2016,Undergraduate,Senior,"COMPSC-BS:Computer Science,SCIENC-MIN:Science",Fall Semester 2020,College Algebra I,MATH-1210,MATH,1000,15,12/1/16,13:24:00,17:02:00,217,MALE,7,3,155,2.18,0.82
BGSU00009,Fall 2016,Undergraduate,Senior,"COMPSC-BS:Computer Science,SCIENC-MIN:Science",Fall Semester 2020,College Algebra I,MATH-1210,MATH,1000,3,9/7/16,13:31:00,15:23:00,112,MALE,7,3,155,2.18,0.82
BGSU00009,Fall 2016,Undergraduate,Senior,"COMPSC-BS:Computer Science,SCIENC-MIN:Science",Fall Semester 2020,College Algebra I,MATH-1210,MATH,1000,3,9/7/16,18:24:00,20:17:00,112,MALE,7,3,155,2.18,0.82
BGSU00009,Fall 2016,Undergraduate,Senior,"COMPSC-BS:Computer Science,SCIENC-MIN:Science",Fall Semester 2020,College Algebra I,MATH-1210,MATH,1000,3,9/8/16,10:35:00,12:26:00,111,MALE,7,3,155,2.18,0.82
BGSU00009,Fall 2016,Undergraduate,Senior,"COMPSC-BS:Computer Science,SCIENC-MIN:Science",Fall Semester 2020,College Algebra I,MATH-1210,MATH,1000,3,9/8/16,17:19:00,19:01:00,102,MALE,7,3,155,2.18,0.82
BGSU00009,Fall 2016,Undergraduate,Senior,"COMPSC-BS:Computer Science,SCIENC-MIN:Science",Fall Semester 2020,College Algebra I,MATH-1210,MATH,1000,3,9/8/16,19:38:00,21:05:00,87,MALE,7,3,155,2.18,0.82
BGSU00009,Fall 2016,Undergraduate,Senior,"COMPSC-BS:Computer Science,SCIENC-MIN:Science",Fall Semester 2020,College Algebra I,MATH-1210,MATH,1000,7,10/7/16,11:48:00,13:01:00,72,MALE,7,3,155,2.18,0.82
BGSU00009,Fall 2016,Undergraduate,Senior,"COMPSC-BS:Computer Science,SCIENC-MIN:Science",Fall Semester 2020,College Algebra I,MATH-1210,MATH,1000,4,9/12/16,12:21:00,12:39:00,18,MALE,7,3,155,2.18,0.82
BGSU00015,Fall 2016,Undergraduate,Junior,No Response,Spring Semester 2017,College Algebra I,MATH-1210,MATH,1000,6,9/28/16,12:34:00,14:55:00,140,MALE,13,0,78,1.548,-1.548
BGSU00015,Fall 2016,Undergraduate,Junior,No Response,Spring Semester 2017,College Algebra I,MATH-1210,MATH,1000,7,10/5/16,16:23:00,18:17:00,114,MALE,13,0,78,1.548,-1.548
BGSU00015,Fall 2016,Undergraduate,Junior,No Response,Spring Semester 2017,College Algebra I,MATH-1210,MATH,1000,6,9/28/16,16:29:00,17:55:00,86,MALE,13,0,78,1.548,-1.548
BGSU00015,Fall 2016,Undergraduate,Junior,No Response,Spring Semester 2017,College Algebra I,MATH-1210,MATH,1000,11,11/2/16,16:28:00,17:46:00,78,MALE,13,0,78,1.548,-1.548
BGSU00018,Fall 2016,Undergraduate,Senior,No Response,Fall Semester 2017,Introductory Methodology,SOC-2680,SOC,2000,9,10/18/16,14:53:00,17:40:00,167,FEMALE,13,3.461,122,3.404,0.057
BGSU00018,Fall 2016,Undergraduate,Senior,No Response,Fall Semester 2017,World War II,HIST-3030,HIST,3000,7,10/4/16,16:22:00,18:37:00,134,FEMALE,13,3.461,122,3.404,0.057
BGSU00018,Fall 2016,Undergraduate,Senior,No Response,Fall Semester 2017,Introductory Methodology,SOC-2680,SOC,2000,9,10/17/16,14:05:00,16:20:00,134,FEMALE,13,3.461,122,3.404,0.057
